col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
    152, UGC03944, UGC03944, 114.65210,  37.63350,  0.01300,   46.200, 1.35E+05, 8.30E+04,  0.01295,       1,       1
    153, UGC03969, UGC03969, 115.30980,  27.61410,  0.02750,   51.280, 1.46E+06, 1.58E+06,  0.02702,       1,       1
    154, UGC03973, UGC03973, 115.63680,  49.80970,  0.02200,   45.380, 6.14E+05, 7.22E+05,  0.02212,       1,       0
    155, UGC03995, UGC03995, 116.03800,  29.24740,  0.01590,   76.650, 1.17E+06, 7.92E+05,  0.01580,       1,       0
    156, NGC2449, NGC2449, 116.83460,  26.93020,  0.01630,   55.000, 4.54E+05, 3.08E+05,  0.01652,       1,       1
    157, UGC04029, UGC04029, 117.07900,  34.33230,  0.01480,   58.370, 4.07E+05, 2.70E+05,  0.01454,       1,       1
    158, UGC04054, UGC04054, 117.73360,  23.89590,  0.00720,   64.550, 6.16E+04, 6.02E+04,  0.00674,       1,       1
    159, IC0480, IC0480, 118.84680,  26.74110,  0.01520,   62.760, 5.49E+05, 3.67E+05,  0.01542,       1,       1
    160, NGC2476, NGC2476, 119.18830,  39.92790,  0.01240,   47.040, 1.24E+05, 7.39E+04,  0.01229,       1,       0
    161, NGC2480, NGC2480, 119.29350,  23.77980,  0.00780,   45.670, 2.56E+04, 2.13E+04,  0.00800,       1,       1
    162, NGC2481, NGC2481, 119.30730,  23.76780,  0.00730,   46.330, 2.06E+04, 1.94E+04,  0.00733,       1,       0
    163, NGC2486, NGC2486, 119.48540,  25.16090,  0.01550,   55.240, 3.91E+05, 2.62E+05,  0.01542,       1,       0
    164, NGC2487, NGC2487, 119.58530,  25.14920,  0.01610,   52.880, 3.88E+05, 2.63E+05,  0.01619,       1,       1
    165, UGC04132, UGC04132, 119.80440,  32.91470,  0.01740,   66.500, 9.80E+05, 6.69E+05,  0.01744,       1,       1
    166, UGC04140, UGC04140, 119.84260,  18.11020,  0.01580,   46.060, 2.41E+05, 1.63E+05,  0.01561,       1,       0
    167, UGC04145, UGC04145, 119.91720,  15.38680,  0.01550,   45.820, 2.22E+05, 1.49E+05,  0.01530,       1,       1
    168, UGC04136, UGC04136, 119.97680,  47.41310,  0.02230,   56.210, 1.24E+06, 1.46E+06,  0.02216,       1,       1
    169, IC0485, IC0485, 120.08240,  26.70140,  0.02780,   50.410, 1.47E+06, 1.61E+06,  0.02773,       1,       0
    170, NGC2507, NGC2507, 120.40500,  15.70970,  0.01520,   52.050, 3.12E+05, 2.09E+05,  0.01507,       1,       0
    171, NGC2513, NGC2513, 120.60280,   9.41360,  0.01570,   65.020, 6.68E+05, 4.51E+05,  0.01564,       1,       1
    172, UGC04176, UGC04176, 120.67850,  40.67860,  0.01050,   45.200, 6.66E+04, 3.79E+04,  0.01028,       1,       1
    173, UGC04190, UGC04190, 120.73970,  16.29930,  0.01620,   52.710, 3.89E+05, 2.64E+05,  0.01601,       1,       0
    174, UGC04197, UGC04197, 120.85640,  10.05050,  0.01530,   72.500, 8.64E+05, 5.78E+05,  0.01504,       1,       1
    175, UGC04210, UGC04210, 121.27250,  25.06260,  0.01680,   47.980, 3.25E+05, 2.21E+05,  0.01678,       1,       0
    176, UGC04195, UGC04195, 121.27880,  66.78300,  0.01640,   52.650, 4.05E+05, 2.75E+05,  0.01617,       1,       0
    177, NGC2522, NGC2522, 121.55600,  17.70660,  0.01570,   46.930, 2.49E+05, 1.68E+05,  0.01554,       1,       1
    178, UGC04233, UGC04233, 121.82200,   8.86910,  0.02970,   60.200, 1.07E+06, 1.17E+06,  0.02943,       1,       0
